"id","nome","descricao"
"1","Administrador","administrador"
"3","Mecânico","Trabalha diretamente na manutenção dos veiculos."
"4","Ajudante","Ajuda o mecânico nas tarefas."
"5","Secretário","Cuida dos cadastros e do atendimento dos clientes."
"id","placa","renavam","marca","modelo","ano_modelo","ano_fabricado"
"1","JGG5760","24260847531","BRM","Buggy/M-8/M-8 Long 1.6","1985","1987"
"2","JYC6882","36151129003","Porsche","911 Carrera GTS Coup","2015","2014"
"3","HKC7762","27207869768","Fiat","Siena HLX Dualogic 1.8 mpi Flex 8V 4p","2010","2009"
"4","KZO2399","61609327064","GREAT WALL","HOVER CUV 2.4 16V 4WD 5p Mec.","2007","2006"
"5","NAW3237","46527334306","CHANA","Cargo CE 1.0 8V 53cv (Pick-Up)","2006","2005"
"6","NEZ6475","41782046417","FOTON","AUMARK 3.5 - 11ST 2.8 4x2 TB Diesel","2014","2013"
"7","KLG7138","11465248581","AM Gen","Hummer Hard-Top 6.5 4x4 Diesel TB","1998","1998"
"8","MWS6856","28731332415","Chrysler","Sebring LX 2.7 V6 24V 204cv","2001","2001"
"9","JLC4458","25219639677","Troller","T-4 DESERT STORM 4x4 3.0 TB Int Diesel","2012","2012"
"10","GFT3218","80052139610","Audi","Q5 3.0 V6 TFSI 272cv Quattro Tiptronic","2013","2013"
"id","cpf","cnpj","nome","data_nascimento","telefone","email","data_cadastro","logradouro","bairro","numero_logradouro","complemento_logradouro","municipio","estado","cep"
"1","59523140078",NULL,"Elias Leonardo Nogueira","1949-08-17","62998787224","eliasleonardonogueira_@mrv.com.br","2021-07-27","Viela 3425","Vila Aguiar","259",NULL,"Goiânia","GO","74530372"
"2","81240721404",NULL,"Osvaldo Luiz Marcos Vinicius Santos","1986-07-05","82998130882","osvaldoluizmarcosviniciussantos@engeco.com.br","2021-07-27","Rua Oldemburgo da Silva Paranhos","Farol","147",NULL,"MaceiÃƒÂ³","AL","57055320"
"3","99223354412",NULL,"Heitor Sebastião Levi Cavalcanti","1986-10-08","91984941529","heitorsebastiaolevicavalcanti-88@rgsa.com.br","2021-07-27","Quadra Quatro","Parque Verde","421",NULL,"Belém","PA","66635067"
"4","5374875574",NULL,"Rodrigo Kevin Caldeira","1998-11-08","8635502961","rodrigokevincaldeira@grupoarteoficio.com.br","2021-07-27","Rua das Palmeiras","SÃƒÂ£o Judas Tadeu","330",NULL,"ParnaÃƒÂ­ba","PI","64206350"
"5","55497307582",NULL,"Emanuel Theo Ramos","1954-02-01","6929717466","emanueltheoramos_@jovempanfmtaubate.com.br","2021-07-27","Rua Professora Alzira Selleri Barbosa","Habitar Brasil","169",NULL,"Cacoal","RO","76960304"
"6","66737584659",NULL,"Anthony André Edson Nogueira","1976-08-14","91987814181","anthonyandreedsonnogueira-79@devuono.com.br","2021-07-27","Rua Sexta","Distrito Industrial","580",NULL,"Ananindeua","PA","67030550"
"7","41329207637",NULL,"Mateus Fernando Severino Moreira","1949-06-15","9238656230","mateusfernandoseverinomoreira-87@escritorioindaia.com.br","2021-07-27","Rua OnÃƒÂ³rio JanuÃƒÂ¡rio","Paz","982",NULL,"Manaus","AM","69049627"
"8","44851060718",NULL,"Heitor Sérgio Porto","1986-04-11","53986938318","heitorsergioporto__heitorsergioporto@yahoo.com.ar","2021-07-27","Rua Domingos Vanzellotti","Rio Bonito","263","casa","Rio Grande","RS","96214160"
"9","38585226196",NULL,"Elias Diogo Carvalho","1967-06-26","95982017278","eliasdiogocarvalho@maiamaquinas.com.br","2021-07-27","Rua Rio Ereu","Professora Araceli Souto Maior","716","Casa","Boa Vista","SC","69315014"
"10","59274319177",NULL,"Geraldo André Francisco Martins","1984-04-11","2739499924","geraldoandrefranciscomartins_@plastic.com.br","2021-07-27","Rua Abiail do Amaral Carneiro","Enseada do Suá","753","Apartamento","Vitória","SC","29050535"
"matricula","nome","cpf","telefone_contato","senha","login","cargos_id"
"1","Admin","50699428084","47998803221","202cb962ac59075b964b07152d234b70","adm","1"
"2","Isadora Juliana Rodrigues","8082514060","95998922003","827ccb0eea8a706c4c34a16891f84e7b","Isadora","5"
"3","Isabella Fátima Luiza Aragão","16349192460","9829622864","099ebea48ea9666a7da2177267983138","Isabella","4"
"4","Benedito Raimundo Matheus Peixoto","34992370160","61991116350","01cfcd4f6b8770febfb40cb906715822","Benedito","3"
"id","descricao_produtos","valor_total_produtos","descricao_servicos","valor_total_servicos","data","status","tipoManutencao","carros_id","clientes_id"
"1","Freios","200.00","Freios","300.00","2021-07-31","1","1","1","1"
"2","Espelhos","50.00","Espelhos","50.00","2021-07-27","1","1","10","10"
"3","Pedal Acelerador","200.00","Pedal Acelerador","100.00","2021-07-27","1","1","9","9"
"4","Bateria nova","300.00","Troca da bateria","100.00","2021-07-28","1","1","1","5"
"5","RevisÃ£o","50.00","RevisÃ£o","50.00","2021-07-28","3","2","10","6"
"6","RevisÃ£o","50.00","RevisÃ£o","50.00","2021-07-28","3","2","9","7"
"7","Jogo de rodas novo","600.00","Troca das rodas","300.00","2021-07-28","3","1","7","8"
"8","Troca dos bancos","1000.00","Troca dos bancos","500.00","2021-07-28","1","1","1","1"
"9","RevisÃ£o","50.00","RevisÃ£o","50.00","2021-07-28","3","2","6","10"
"id","km_atual","data_cadastro","data_conclusao","data_previsao","status","valor_final","funcionarios_matricula","orcamentos_id","informacoes_adicionais"
"1","009000","2021-07-27","2021-07-27","2021-08-10","3","500.00","4","1","Freios cortados"
"2","010000","2021-07-28",NULL,"2021-08-11","2","10000.00","1","2",
"3","005000","2021-07-28",NULL,"2021-08-11","2","30000.00","4","3",
"4","010000","2021-07-28","2021-08-12","2021-08-11","1","10000.00","1","2",
"5","006000","2021-07-28",NULL,"2021-08-11","1","40000.00","4","4",
"6","005000","2021-07-28",NULL,"2021-08-11","1","150000.00","4","8",
